Judul,Tanggal,Penulis,Isi,Link Lengkap
Tips Mengajarkan Anak Cara Berterima Kasih Sejak Dini,,"['Dhita Koesno', 'Https', 'Www.Facebook.Com Tirtoid']",Hal Penting yang Harus Dihindari Saat Bicara dengan Anak-Anak,https://tirto.id/tips-mengajarkan-anak-cara-berterima-kasih-sejak-dini-gl5i
Apa Kabar Teka-teki Silang?,,"['Petrik Matanasi', 'Https', 'Www.Facebook.Com Tirtoid']","Teka-teki silang (TTS) diciptakan oleh Arthur Wynne lebih dari satu abad lalu. Kini, sudah semakin terpinggirkan oleh hingar bingar dunia digital.",https://tirto.id/apa-kabar-teka-teki-silang-bwt2
Sejarah Hidup Usmar Ismail Bapak Film Nasional,,"['Petrik Matanasi', 'Https', 'Www.Facebook.Com Tirtoid']","Bapak

menyuguhkan kritik bernas terhadap penumpang gelap revolusi.

Lewat Djam Malam

Rupanya itu hanya dalih supaya Gunawan bisa menyikat harta si tertuduh dan menjadikannya modal bisnis. Dengan itu, Usmar Ismail hendak menyampaikan bahwa Angkatan 45 dan Revolusi tak sepenuhnya suci.

kemudian

catat

Proses produksi

lakukan dengan kamera Akeley bekas. Dia pun rela mengangkut kamera itu dengan oplet yang tak kalah bututnya dari Jakarta ke lokasi pengambilan gambar di Subang.

Karena perjuangan macam itu, tak heran jika kemudian h

tetapkan sebagai

Riwayat

Usmar Ismail lahir pada 20 Maret 1921

dalam lingkungan keluarga terpelajar.

adalah

soal

remaja. Di zaman Pendudukan

Usmar

Kala Revolusi Kemerdekaan berkecamuk,

Usmar Ismail termasuk orang yang hijrah dari Jakarta ke

ibu kota baru

Yogyakarta. Rosihan Anwar bersaksi, Usmar

pernah

dilibatkan

dalam operasi

intelijen yang dipimpin Kolonel Zulkifli Lubis.

Kala itu, dia diberi pangkat mayor.

Usmar

disebut pula

menjalankan mingguan

Patriot

dan majalah

Tentara

.

Pada pertengahan

1948, Usmar pindah ke Jakarta dan tinggal bersama Rosihan Anwar di

Jalan

Pegangsaan nomor 6. Usmar

lalu

bekerja untuk

kantor berita

Antara yang menjadi corong Republik Indonesia.

Ketika berada di Jakarta, Komisaris Polisi Yassin

pernah

mendatangi rumah mereka. Yassin

kala itu termasuk polisi senior yang amat berpengalaman. Dia

dulu pernah jadi polisi khusus

di

zaman Hindia Belanda,

lalu

jadi

polisi Jepang, dan

sempat pula jadi

polisi NICA waktu Belanda berkuasa lagi di Jakarta.

Gara-gara keterlibatannya dengan intelijen Indonesia,

Usmar lalu ditahan oleh satuan intel

ijen

Belanda. Usmar ditahan di penjara Cipinang tanpa pernah diadili. Setelah dibebaskan dari penjara

itulah kariernya di dunia film dimulai. Dia mulanya

bekerja di South Pasific Film Corporation

sebagai

sutradara

dan

lalu

jadi





produser setelah tentara Belanda angkat kaki dari Jakarta. Infografik Mild Usmar Ismail. (tirto.id/Fuad)

Jatuh Bangun

odam

Perfini bekerja sama dengan

odam

hasil kolaborasi kedua institusi itu rilis.

seorang

jeli

pemeran

asi

pria yang tutup usia pada 2 Januari 1971 ini

yang dicanangkan

Usmar yang",https://tirto.id/sejarah-hidup-usmar-ismail-bapak-film-nasional-glcU
Pangeran William dan Ekofasisme yang Mengerikan,,"['Sekar Kinasih', 'Https', 'Www.Facebook.Com Tirtoid']",Kita sedang menghadapi krisis dan kelompok ekofasis mudah saja menyalahkan mereka yang termarjinalkan.,https://tirto.id/pangeran-william-dan-ekofasisme-yang-mengerikan-glRj
Teleskop Luar Angkasa Berevolusi Demi Mengungkap Rahasia Langit,,"['Ahmad Zaenudin', 'Https', 'Www.Facebook.Com Tirtoid']",Teleskop luar angkasa dibangun untuk mempelajari benda-benda langit. Terus berkembang hingga berguna untuk melacak sisa-sisa peristiwa Ledakan Besar.,https://tirto.id/teleskop-luar-angkasa-berevolusi-demi-mengungkap-rahasia-langit-gmSZ
Anjing Saluki Sobat Suku Badui Arab,,"['Maulida Sri Handayani', 'Https', 'Www.Facebook.Com Tirtoid']",Anjing dengan kemampuan berburu yang luar biasa ini telah menemani orang Badui sejak awal bertahan hidup di tengah kerasnya gurun di Semenanjung Arab.,https://tirto.id/anjing-saluki-sobat-suku-badui-arab-ckm8
Menuju Dunia yang Adil Berkontrasepsi,,"['Aditya Widya Putri', 'Https', 'Www.Facebook.Com Tirtoid']","Meski kemampuan reproduksi dimiliki laki-laki dan perempuan, namun banyak pria masih malas menanggung tanggung jawab kontrasepsi.",https://tirto.id/menuju-dunia-yang-adil-berkontrasepsi-gmwW
Bartholomew Roberts: Bajak Laut Tersukses di Zaman Emas Perompakan,,"['R. A. Benjamin', 'Https', 'Www.Facebook.Com Tirtoid']","Pada masa

saat

negara-

negara

imperial

macam Inggris, Spanyol, Belanda, Portugal, dan Prancis berebut

kuasa dan

tanah jajahan, deretan

kelompok

bajak laut juga mencoba meraih kesuksesannya masing-masing.

Mereka kemudian benar-benar berjaya selama abad ke-17 dan ke-18. Menjadikan masa itu dikenang sebagai

The Golden Age of Piracy

.

Kala itu, perairan Karibia menjadi

titik paling riuh,

tempat para begundal itu mencari nama. Mereka membangun entitas yang disebut Republik Perompak, meski dibayangi ancaman dari kekuatan-kekuatan imperial Eropa.

Di pulau-pulau dengan pasir putih, cuaca tropis, dan laut warna turkis itu, kesuksesan bisa dibagi lagi ke dalam berbagai jenisnya.

Bagi bajak laut seperti “ Calico Jack ” Rackham, kesuksesan berarti menaklukkan kapal-kapal kecil dan membawa kabur Anne Bonny. Sedangkan untuk “ Pangeran Bajak Laut ” Samuel Bellamy, tolok ukurnya lain lagi: membajak kapal budak Whydah yang membuatnya memuncaki klasemen bajak laut terkaya sepanjang sejarah.

Jika parameter kesuksesan itu dihitung dari seberapa banyak kapal yang berhasil

d

taklukkan, tidak banyak yang pantas meraih predikat bajak laut tersukses. Nama Sir Henry Morgan alias Kapten Morgan yang termasyhur mungkin bisa dikedepankan. Selebihnya, tak banyak yang bisa menyaingi bajak laut bernama Bartholomew Roberts. Kendati hanya menempati peringkat lima dalam jajaran perompak terkaya , Roberts membajak lebih dari 400 kapal dalam kariernya.

Dia tercatat l

ahir di Wales

pada

17 Mei 1682 dengan nama John Roberts.

Di

a

disebut

sudah melaut sejak umur 13 tahun. Roberts muda tumbuh menjadi pemuda berpostur tinggi dan kulit menggelap terbakar matahari—yang membuatnya dijuluki

Black Barty

.

Namun, kisah

nya sebagai

bajak lautnya baru dimulai pada 1719,

kala umurnya

telah menginjak 37 tahun. Saat itu,

Roberts

menjabat posisi

second mate

di atas kapal pengangkut budak yang dikapteni Abraham Plumb. Ketika sedang tertambat di Anomabu, Ghana, kapal itu dibajak k

elompok

bajak laut Howell Davis yang juga berasal dari Wales.

Roberts

dan beberapa awak lantas direkrut ke dalam kru bajak laut itu.

Seturut

buku

A General History of the Robberies and Murders of the

M

ost

N

otorious Pyrates

(1724) karya Captain Charles Johnson,

Roberts

dihadapkan pada pilihan antara

kerja rodi

di kapal budak atau kesenangan dan kebebasan di kapal bajak laut.

Maka di

a pun memutuskan, ""

H

idup yang bahagia dan singkat akan menjadi mot

toku.

""

Mark Cartwright dalam tulisannya di

World History Encyclopedia

menyebut pada saat inilah,

Robert

mengganti nama

depan

Kristennya menjadi Bartholomew—

dengan sapaan Barty. Itu dia maksudkan

untuk mempersulit pihak berwenang mene

lusuri

identitasnya.

Berkat

kemampuan navigasi

dan

kedekatan asal-usulnya dengan

sang kapten, karier Bart

y

segera menanjak. Tatkala Kapten Davis tewas di tangan orang-orang Portugis di Príncipe,

para kru lantas memilih

Bart

y

sebagai

kapten baru.

Itu terjadi h

anya

sejarak

enam bulan sejak

d

ia bergabung

di kelompok itu.

Kapten dan Pirate Code

Aksi pertama Bart

y

sebagai kapten adalah membalaskan kematian mantan kaptennya di Príncipe. Di kegelapan malam, Bart

y

bersama para krunya membantai para laki-laki di pulau kecil di Teluk Guinea itu sekaligus membawa kabur harta sebanyak yang

bisa mereka angkut

.

Kapten

Bart

y

dan krunya kemudian menyeberangi Atlantik. Selama setahun (Juli 1719-Mei 1720),

kelompok Kapten Barty

meneror kawasan Brazil

sebelum kemudian

kembali ke Karibia. Dalam pelayaran itu mereka membajak

sebuah kapal bernama Fortune dan menjadikannya sebagai kapal utamanya.

Dalam pelayaran itu pula Bart

y

menerapkan

seperangkat peraturan yang harus dipatuhi seluruh

krunya

. Ada 11 poin dalam

Pirate Code

versi

Kapten

Bart

y

, dua di antaranya: melarang perjudian di atas kapal dan musisi boleh beristirahat pada hari Sabat.

Lain itu, s

umpah diambil seraya Alkitab dijunjung di tangan.

Selepas petualangan di

perairan Amerika bagian

tengah dan selatan, Bart

y

dan krunya

berlayar ke utara,

menuju Newfoundland di Kanada. Selama nyaris setahun (

Juni 1720-April 1721) berlayar di utara, mereka kembali ke Karibia

dengan mengangkut harta

rampasan yang

konon digondol dari

400-

an

kapal.

Pada 21 Juni

1720

, awak Fortune menyerang

P

elabuhan Trepassey. Di sana, mereka menemukan 22 kapal dagang dan 150 kapal nelayan yang kesemuanya

kosong. Kapal-kapal itu

ditinggalkan

begitu saja oleh

kapten dan krunya lantaran ketakutan melihat bendera hitam yang dikibarkan

armada bajak laut

Bart

y

.

Bulan berikutnya, Bart

y

dan krunya membajak sembilan kapal P

e

rancis.

Salah satu kapal rampasan itu lantas dipersenjatai

26 meriam

dan Barty menjadikannya kapal komando baru. Dia juga menamainya

Good Fortune. Lalu pada 25 Oktober, di laut sekitar St. Lucia,

armada Barty

membajak 15 kapal Prancis dan Inggris

dalam tiga hari

.

Kinerja menakutkan itu datang dari kepercayaan para awak

pada

keberanian Bart

y

. Keengganan merompak satu-dua kapal bisa berarti cap ""pengecut"", seperti yang pernah menimpa kapten-kapten seperti Charles Vane dan Benjamin Hornigold.

Tercatat hanya ada satu kali pemberontakan dalam kru Bart

y. Itu terjadi pada

1720

kala

Letnan Walter Kennedy membawa kabur dua kapal yang ia tangkap. Selebihnya, kru percaya kesuksesan akan terus datang selama mereka berada di bawah komando Kapten

Black Barty

.

Good Fortune kemudian diperbaiki dan dinamai Royal Fortune—nama yang kelak digunakan untuk beberapa kapal utama

nya yang

lain. Salah satu Royal Fortune itu berkekuatan 42 meriam (bahkan ada yang bilang 52 meriam), menjadi

kannya

salah satu kapal perompak paling perkasa di Karibia.

Usai sukses ulang alik menggasak Newfoundland-Karibia,

Bart

y

mengarahkan armadanya

menuju lautan

Afrika bagian barat. Di sanalah,

jalan hidupnya berubah dua tahun





kemudian. Infografik Bartholomew Roberts. tirto.id/Sabit

Afrika: Akhir Petualangan Black Bart y

""Dia selalu berpakaian merah, yang bisa saja untuk menyamarkan darah dalam pertempuran dan menunjukkan bahwa dia tidak peduli,"" ujar Terry Breverton, penulis

The Pirate Handbook: A Dictionary of Pirate Terms & Places

.

Meski punya reputasi menakutkan di luar,

Bart

y justru

disebut sebagai seorang Kristen taat

Dia konon

hanya

mau

minum teh, alih-alih minuman beralkohol.

Dalam hal memperlakukan tahanannya,

Black Bart

y

disebut tak sekejam

bajak laut Edward Low dan Kapten Vane.

Tapi, dia

juga tidak

lantas bisa disebut sebaik

Samuel Bellamy atau mantan kaptennya

sendiri

, Howell Davis.

Di

a kadang membagikan harta kepada para kapten taklukan yang kooperatif, tapi juga tidak segan memusnahkan mereka yang enggan bekerja sama.

Pada Januari 1722, misalnya, ketika menuju Ouidah, Benin—salah satu titik penting dalam masa

P

erdagangan

B

udak, Bart

y

menyerahkan

kembali

kapal bajakannya kepada kaptennya masing-masing usai tebusan dibayarkan. Namun, bagi kapten atau pemilik kapal yang menolak persayaratan itu, Bart

y

memerintah awaknya membakar kapal yang juga mengangkut sekitar 80 budak Afrika.

Petualangan Kapten Black

Bart

y

akhirnya pungkas pada 10 Februari 1722 di perairan sekitar Cape Lopez, Teluk Guinea.

Dia jadi buruan

Kapten Challoner Ogle

dari Royal Navy

dengan kapal

nya

HMS Swallow selama berbulan-bulan.

Royal Fortune ketiban apes kala badai tropis menghantam dan mengacaukan navigasinya. Padahal, ia tengah dipepet oleh HMS Swallow.

Badai

itu rupanya justru

membawa keuntungan bagi

HMS Swallow.

Grapeshot

(

se

jenis amunisi) dari meriam kapal pimpinan Ogle

itu

melesat menerjang leher Bart

y

.

Itulah momen tamatnya riwayat

Bartholomew Roberts.

Dia mati persis di puncak kesuksesannya sebagai bajak laut. S

esuai

wasiat

nya semasa hidup, para awak melempar jasadnya ke laut bersama seluruh senjata dan perhiasannya.

Di

a menolak mati digantung, dan berkat wasiat macam itu, jasadnya tak pernah ditemukan.

Sungguh kematian yang epik.

Sebanyak 268 awak Bart

y

lantas ditangkap seusai Kapten Ogle memenangkan pertarungan atas kru tanpa kapten itu. Kru Bart

y

juga di

isi oleh

para mantan budak, baik yang dibebaskan dari kapal budak maupun pelarian dari perkebunan kolonial. Kapten Ogle

lalu menangkap lagi

77 budak Afrika

dari kru Barty dan mengembalikan mereka

ke perbudakan. Sementara

itu, ada

52 awak Bart

y

yang

digantung di depan Kastil Cape Coast—

tercatat sebagai

eksekusi publik terbesar terhadap bajak laut.

Kematian Bartholomew Roberts dianggap sebagai salah satu penanda berakhirnya zaman keemasan pembajakan.

Atas keberhasilannya menumpas armada bajak laut Black Barty, Kerajaan Inggris menganugerahkan titel

knighthood

kepada Kapten Challoner Ogle. Dia adalah

satu-satunya perwira Royal Navy yang mendapatkan titel itu

karena

aksinya menumpas pembajakan.

Warisan

Menurut Mark Cartwright, Bartholomew Roberts amat suka pada pakaian dan aksesoris warna merah. Ketika beraksi, dia memakai setelan berwarna merah yang mencolok. Topinya pun dihiasi bulu berwarna merah. Lain itu, kalung emas dan salip berlian juga jadi cirinya.

K

arenanya,

orang-orang Perancis menjulukinya

Le Jolie Rogue—atau Jolly Roger dalam penyebutan populer. Menurut Cartwaright, Roberts juga memakai julukan itu untuk menamai bendera bajak lautnya. Namun, teori lain menyebut bahwa

jolly roger

tidaklah spesifik berkait dengan bendera atau persona Roberts. Alih-alih, ia adalah nama generik untuk menyebut bendera bajak laut.

Untuk urusan simbol

kelompok bajak lautnya

, Bart

y juga dikenal

punya gaya

yang eksentrik

. Dia

tercatat

menggunakan beberapa desain

jolly roger

yang berbeda. Di satu bendera, dia memakai gambar dirinya sendiri dan kerangka manusia (menyimbolkan kematian) tengah memegang jam pasir.

Simbolnya y

ang paling intimidatif mungkin

berupa

ilustrasi dirinya

tengah

memegang pedang api seraya berdiri di atas dua tengkorak manusia.

Di bawah masing-masing tengkorak itu tertera tulisan

""ABH"" dan ""AMH"".

Tulisan-tulisan itu adalah singkatan dari

A Barbadian Head

dan

A Matiniquan Head

.

Tulisan itu

adalah simbol perselisihannya dengan

gubernur

Barbados dan Martinique.

S

alah

satu Gubernur Martinique bahkan

disebut

angkat usia setelah digantung Bart

y

di kapalnya sendiri.

Walau bisa dibilang tak sepopuler William Kidd atau Edward Teach alias Blackbeard, Bartholomew Roberts dirayakan dengan meriah dalam kisah-kisah nonfiksi maupun kisah-kisah fiktif romantisasi bajak laut.

Di

a menjadi salah satu kapten bajak laut sungguhan yang disebutkan dalam

Treasure Island

karya Robert Louis Stevenson.

Karya itu

kelak

jadi inspirasi dari

banyak penggambaran perompak maupun kisah-kisah petualangan.

Namanya

juga muncul dalam

waralaba

populer seperti

film

Pirates of the Caribbean

dan gim video

Assassin's Creed

.

Dalam manga populer

One Piece

,

namanya jadi inspirasi untuk

karakter Bartholomew Kuma yang kerap membawa Alkitab. Cerita-cerita dan penggambaran yang terush hidup, bermula dari satu sosok yang memilih hidup dengan penuh kebebasan, meskipun singkat, alih-alih bekerja keras dan tak dibayar dengan layak.",https://tirto.id/bartholomew-roberts-bajak-laut-tersukses-di-zaman-emas-perompakan-gmbW
"Kita Akui Saja, Rokok Elektronik Sama Berbahayanya",,"['Ahmad Zaenudin', 'Https', 'Www.Facebook.Com Tirtoid']",Rokok elektronik dianggap alternatif sehat dari rokok konvensional. Masalahnya klaim tersebut tak kuat. Maka kita akui saja: ia sama berbahaya.,https://tirto.id/kita-akui-saja-rokok-elektronik-sama-berbahayanya-gmsv
"Usai Cukai Naik, Ada Cara Apa Lagi untuk Turunkan Jumlah Perokok?",,"['Aditya Widya Putri', 'Https', 'Www.Facebook.Com Tirtoid']","C

ukai hasil tembakau (CHT) kembali naik

a

wal tahun mendatang. Kebijakan ini

tentu

menuai pro-kontra.

K

elompok pendukung jelas berpegang pada prinsip kesehatan. Sementara

itu,

mereka yang menolak lagi-lagi memakai dalih tentang kesejahteraan petani dan tenaga kerja dalam rantai produksi rokok.

Pemerintah melalui

Menteri Keuangan Sri Mulyani Indrawati memutuskan menaikkan CHT sebesar 12 persen untuk golongan Sigaret Putih Mesin (SPM). S

ementara itu,

cukai golongan Sigaret Kretek Tangan (SKT) hanya naik maksimal 4,5 persen saja.

Kenaikan nilai

cukai SKT lebih rendah

daripada SPM

karena

jenis

ini menyerap lebih banyak tenaga kerja dan bahan baku lokal. Kebijakan ini

kabarnya

diambil untuk mengendalikan konsumsi rokok, khususnya di kalangan anak dan remaja.

Riset Kesehatan Dasar (Riskesdas) 2018 memang menunjukkan jumlah perokok muda yang meningkat menjadi 9,1 persen dari sebelumnya 7,1 persen (2013). Padahal, pemerintah hampir

selalu

menaikkan cukai rokok setiap tahun.

Kenaikan CHT dua digit dimulai sejak 2016 sebesar 11,19 persen.

Nilainya

sempat turun menjadi 10,54 persen pada 2017

dan

kemudian menjadi 10,4 persen

pada

2018. Pada 2019, pemerintah tidak menaikkan CHT,

tapi

pada

2020, CHT kembali naik di angka 23,05 persen.

Dari kenaikan CHT tahun depan, pemerintah menargetkan prevalensi perokok anak usia 10-18 tahun

dapat ditahan di angka

8,83 persen dari target 8,7 persen dalam RPJMN tahun 2024. Namun, jika di

cermati,

kenaikan CHT tiap tahun terlihat

hampir

tak berdampak pada penurunan jumlah perokok.

Sudah tepatkah strategi pemerintah dalam menurunkan jumlah perokok muda dengan strategi cukai?

Hasil riset Pusat Kajian Jaminan Sosial Universitas Indonesia (PKJS-UI) menjawab pertanyaan ini.

Menurut p

erhitungan mereka, kenaikan

cukai sebesar

10 persen berpotensi menurunkan konsumsi rokok per minggu sebanyak 1,3 batang.

Meski berkorelasi, kenaikan cukai

rupanya tidak berdampak signifikan

pada prevalensi perokok.

Artinya, p

emerintah butuh strategi tambahan jika benar berkomitmen mengurangi jumlah perokok, terutama di kalangan muda.





Strategi Kunci Turunkan Jumlah Perokok

Di saat yang hampir berbarengan dengan pengumuman

kenaikan

CHT, Selandia Baru

dikabarkan

juga berencana membatasi akses rokok.

Pemerintah Selandia bahkan bakal menerapkan cara yang lebih drastis denga

n mengurangi takaran nikotin pada produk rokok untuk dewasa, memangkas pengecer rokok, dan

melarang

konsumen muda

merokok

.

Pemerintah Selandia Baru memastikan penduduk kelahiran 2008 ke atas tidak bisa membeli rokok seumur hidup.

Seturut pemberitaan

CNBC

, pemerintah Selandia Baru pertama kali mencanangkan program bebas rokok itu pada 2011.

Tujuannya

adalah untuk

menurunkan

kuantitas perokok hingga kurang dari 5 persen secara nasional pada 2025.

Pemerintah Selandia Baru bahkan punya ambisi

menghilangkan kebiasaan merokok sama sekali. Saat ini, sekitar 13

persen

warga

dewasa

Selandia Baru adalah perokok. Satu dekade lalu, persentasenya adalah

18

persen. Itu adalah capaian penurunan yang nisbi cukup besar, meski butuh waktu yang juga cukup lama.

Sama seperti Indonesia, Selandia baru juga membuat kebijakan kenaikan cukai setiap tahun.

Pada

2021, cukai rokok negara ini naik 1,4 persen. Tidak besar memang, namun

harga rokok di sana sudah terhitung mahal sejak awal.

Di tahun sebelumnya, kenaikan cukai sebesar 10 persen membikin harga sebungkus rokok menjadi sekitar $33 atau setara Rp475 ribu.

Bandingkan dengan Indonesia yang

warganya

bisa

mendapat

sebungkus

rokok

dengan hanya Rp20 ribu saja, bahkan kurang.

Tidak cukup menaikkan cukai saja, harus diikuti kenaikan harga jual setidaknya 50 persen. Konsumen miskin pasti akan turun.

J

adi, secara tidak langsung membantu mereka keluar dari kemiskinan,” ungkap ekonom Faisal Basri dalam diskusi pertembakauan bersama AJI Jakarta beberapa waktu lalu.

Data BPS pada 2018 memang menunjukkan bahwa rokok adalah faktor penyebab kemiskinan pada kelas ekonomi

menengah

ke bawah. Pengeluaran untuk rokok

saja

menempati urutan kedua terbesar setelah beras.

Padahal, a

lokasi belanja rokok sejatinya bisa dialihkan ke kebutuhan lain yang lebih primer.

Peta pengurangan konsumsi rokok dengan strategi kenaikan cukai juga di

lakukan

negara lain, seperti Amerika. Penelitian pada responden di Amerika mengungkap kenaikan cukai dapat menurunkan jumlah perokok,

meski

efeknya memang tidak instan.

Manfaat kenaikan cukai ini terakumulasi dari waktu ke waktu, (lebih spesifik) dalam mencegah perokok baru,” demikian tulis studi terbitan 2018 tersebut.

Amerika

b

utuh

waktu

dari

setengah abad

(1965-2017)

untuk

menurunkan prevalensi perokok secara signifikan. Di kalangan perokok pria, nilainya turun dari 52 persen menjadi 15,8 persen,

s





ementara di kalangan perempuan, turun dari 34,1 persen menjadi 12,2 persen. Infografik Cukai Rokok. tirto.id/Sabit

Memanipulasi Harga Rokok

Belajar dari kedua negara i

tu

, sementara cukai dan harga jual ditingkatkan,

pemerintah Indonesia perlu menutup

celah lain: distribusi dan konsumsi tembakau ilegal. Di Indonesia, aksi “tingwe”

tembakau

alias

ngelinting dewe

(melinting sendiri)

belakangan jadi marak di kalangan anak muda karena

harganya murah

.

M

enurut

lembaga pemeringkat

Indonesia masuk dalam daftar

11 negara yang memiliki harga rokok termurah di dunia. Statistiknya dilihat dari harga Marlboro isi 20 batang yang dihargai hanya US

$

1,95 atau sekitar Rp28 ribu. Peringkat negara kita hanya beda US

$

0,01 dibanding Brazil yang berada di urutan ke-10 dengan harga rokok per bungkus US

$

1,94.

Sementara

itu,

Selandia Baru adalah negara kedua yang mematok harga rokok paling mahal setelah Australia, yakni masing-masing US

$

23,86

(

setara Rp343 ribu

)

dan US

$

26,64

(

setara Rp383 ribu

)

. Amerika masuk urutan ke-18 dengan harga Marlboro US

$

8 atau sekitar Rp115 ribu.

Meski harga rokok di Indonesia

lebih murah dibanding Selandia Baru atau Amerika

, perokok Indonesia masih

saja

menemukan cara mengakali harga rokok supaya lebih murah

lagi, yakni

dengan membeli rokok ilegal atau tembakau

tingwe

.

M

enurut Faisal, perokok linting

sebenarnya

bukanlah konsumen mayoritas.

P

ersentase perokok linting dari kalangan muda

besarnya

kurang dari 1 persen. Mengonsumsi rokok

tingwe

masih dianggap merepotkan sehingga penikmatnya pun masih sedikit.

Meski begitu, celah

untuk rokok

tingwe

dan

rokok ilegal tetap harus ditutup

demi

total

itas

memerangi dampak buruk rokok. Faisal

juga

menyarankan larangan penjualan rokok secara ketengan

karena

perokok muda umumnya mengakses rokok melalui cara itu.

Terakhir produk tembakau tidak boleh dijual di warung-warung, harus di tempat khusus sehingga aksesnya terbatas,”

kata Faisal.

Poin terakhir Faisal merujuk pada Inggris yang menjual produk tembakau alternatif di apotek.

Otoritas Inggris

hanya mengizinkan penjualan rokok konvensional di tempat tertentu dengan menetapkan batasan umur pembeli.

Tak ada kebijakan sia-sia dari usaha menghentikan kebiasaan merokok.

Y

ang membedakan hanya soal keseriusan dan konsistensinya saja.",https://tirto.id/usai-cukai-naik-ada-cara-apa-lagi-untuk-turunkan-jumlah-perokok-gmoD
"Mark Suciu: Buku, Kuliah, dan Skater Terbaik 2021",,"['R. A. Benjamin', 'Https', 'Www.Facebook.Com Tirtoid']","Mark Suciu meninggalkan skateboarding demi pendidikan, lantas kembali untuk membuat video-video yang layak dikenang dan menjadi Skater of the Year.",https://tirto.id/mark-suciu-buku-kuliah-dan-skater-terbaik-2021-gme4
Tips Menata Dapur Sesuai dengan Feng Shui yang Bisa Membawa Hoki,,"['Dhita Koesno', 'Https', 'Www.Facebook.Com Tirtoid']",Umur Berapa Bayi Bisa Melihat dan Apa Saja Tahap Perkembangannya?,https://tirto.id/tips-menata-dapur-sesuai-dengan-feng-shui-yang-bisa-membawa-hoki-gnGE
"Syarat Guru Penggerak Angkatan 6, Daerah Sasaran 2022, Cara Daftar",,"['Addi M Idhom', 'Https', 'Www.Facebook.Com Tirtoid']",Hari Guru Nasional dan Kenapa Guru Jadi profesi yang Banyak Dicari?,https://tirto.id/syarat-guru-penggerak-angkatan-6-daerah-sasaran-2022-cara-daftar-gnFY
"Gempa Susulan Hari Ini, Penjelasan BMKG Gempa Banten & Dampaknya",,"['Nur Hidayah Perwitasari', 'Https', 'Www.Facebook.Com Tirtoid']","Hingga saat ini sudah ada laporan dampak kerusakan di Kec. Munjul dan Kec. Cimanggu, Kab. Pandeglang yang ditimbulkan akibat gempabumi tersebut.",https://tirto.id/gempa-susulan-hari-ini-penjelasan-bmkg-gempa-banten-dampaknya-gnGC
Alur Pendaftaran SNMPN 2022: Cara Daftar dan Dokumen yang Disiapkan,,"['Ibnu Azis', 'Https', 'Www.Facebook.Com Tirtoid']","Alur pendaftaran SNMPN 2022 melibatkan politeknik, sekolah, dan siswa. Temukan alur lengkap, cara daftar dan dokumen yang disiapkan dalam SNMP 2022 di sini.",https://tirto.id/alur-pendaftaran-snmpn-2022-cara-daftar-dan-dokumen-yang-disiapkan-gnGA
Asmaul Husna Al-Baari Artinya Maha Mengadakan dan Dalil di Al-Quran,,"['Syamsul Dwi Maarif', 'Https', 'Www.Facebook.Com Tirtoid']",Pendidikan Agama Islam Asmaul Husna Al-Baari Artinya Maha Mengadakan dan Dalil di Al-Quran,https://tirto.id/asmaul-husna-al-baari-artinya-maha-mengadakan-dan-dalil-di-al-quran-gnGr
Profil Artis Inisial FF Kasus Narkoba: Siapa Fico Fachriza?,,"['Dede Mudopar', 'Https', 'Www.Facebook.Com Tirtoid']",Profil artis inisial FF terkait kasus narkoba menjadi sorotan yang belakangan diketahui sebagai Fico Fachriza. Siapa dia?,https://tirto.id/profil-artis-inisial-ff-kasus-narkoba-siapa-fico-fachriza-gnF6
Cara Membuat SKTM untuk Syarat Daftar SNMPN 2022 & Jadwal Lengkap,,"['Ilham Choirul Anwar', 'Https', 'Www.Facebook.Com Tirtoid']","Tinggi Permukaan Air Pompa Pasar Ikan Capai 206 cm Status Siaga 2, Per 15 Januari 2022 Pukul 08:00 WIB",https://tirto.id/cara-membuat-sktm-untuk-syarat-daftar-snmpn-2022-jadwal-lengkap-gnGm
Contoh Washal dalam Al Quran dan Pengertiannya dalam Ilmu Tajwid,,"['Abdul Hadi', 'Https', 'Www.Facebook.Com Tirtoid']",Cara Membaca Al-Quran Contoh Washal dalam Al Quran dan Pengertiannya dalam Ilmu Tajwid,https://tirto.id/contoh-washal-dalam-al-quran-dan-pengertiannya-dalam-ilmu-tajwid-gnFJ
Berita Gunung Merapi Hari Ini 14 Januari: 32 Kali Gempa Guguran,,"['Alexander Haryanto', 'Https', 'Www.Facebook.Com Tirtoid']",Gunung Merapi hari ini mengalami 32 kali gempa guguran dengan amplitudo 3-14 mm dan lama gempa 53.8-137.6 detik.,https://tirto.id/berita-gunung-merapi-hari-ini-14-januari-32-kali-gempa-guguran-gnGl
Apa Ada Potensi Gelombang Tinggi di Pantai Selatan Jogja & Jateng?,,"['Nur Hidayah Perwitasari', 'Https', 'Www.Facebook.Com Tirtoid']","BMKG keluarkan peringatan dini gelombang tinggi di Samudra Hindia selatan Jateng dan DIY yang berlaku hingga Sabtu (15/1/2022), pukul 07.00 WIB.",https://tirto.id/apa-ada-potensi-gelombang-tinggi-di-pantai-selatan-jogja-jateng-gnGb
